,Sr No,startup,vertical,city,investors,round,amount,year,state
1243,1244,Healthians,Healthcare,Gurugram,Beenext,Private Equity,24.75,2016,Haryana
1244,1245,HealthifyMe,Healthcare,Bengaluru,"Idg ventures india, Inventus capital, Blume ventures",Private Equity,49.5,2016,Karnataka
1245,1246,HealthifyMe,Healthcare,Bengaluru,Nb ventures,Private Equity,8.25,2016,Karnataka
1246,1247,HealthKart,E-Commerce,Gurugram,"Sequoia capital india, Omidyar network, Kae capital",Private Equity,99.0,2016,Haryana
1247,1248,HealthKumbh,Consumer Internet,Ahmedabad,Undisclosed investor,Seed Funding,0.6,2016,Gujarat
1248,1249,Hello Curry,Food ,Hyderabad,Sashi reddi & other unnamed investors,Private Equity,12.38,2016,Telangana
1249,1250,Hello Tax,Consumer Internet,New Delhi,Sanjeev sinha,Seed Funding,2.43,2016,Delhi
1250,1251,HelpChat,Consumer Internet,Bengaluru,"American express ventures, Sequoia capital",Private Equity,0.0,2016,Karnataka
1251,1252,Helpi,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,0.0,2016,Maharashtra
1252,1253,HelpShift,Technology,Pune,"Microsoft ventures, Salesforce ventures",Private Equity,189.75,2016,Maharashtra
1253,1254,Highway Delite,Consumer Internet,Bengaluru,N.s. raghavan centre for entrepreneurial learning,Seed Funding,0.0,2016,Karnataka
1254,1255,Hike,Consumer Internet,New Delhi,"Tencent holdings, Foxconn technology group, Tiger global, Softbank group, Bharti enterprises",Private Equity,1443.75,2016,Delhi
1255,1256,Hike Messenger,Consumer Internet,New Delhi,"Matt mullenweg, Adam d'angelo, Aditya agarwal,  ruchi sanghvi & others",Private Equity,0.0,2016,Delhi
1256,1257,Hipcask,Consumer Internet,Mumbai,Mobikon,Seed Funding,0.0,2016,Maharashtra
1257,1258,Hippily,E-Commerce,Mumbai,"Dr. sridhar ramaswamy, Rakesh mathur",Seed Funding,2.06,2016,Maharashtra
1258,1259,HitGrit,Consumer Internet,Chandigarh,"Ashish mahajan, Sarvesh sharma",Seed Funding,0.0,2016,Chandigarh
1259,1260,HolaChef,Delivery,Mumbai,"Kalaari capital, India quotient",Private Equity,16.09,2016,Maharashtra
1260,1261,Hoppingo,Consumer Internet,New Delhi,Vcommission,Seed Funding,0.73,2016,Delhi
1261,1262,Hopscotch,E-Commerce,Mumbai,Eduardo saverin,Private Equity,107.25,2016,Maharashtra
1262,1263,Horntell,Consumer Internet,Gurugram,"Bharanidharan viswanathan, Sanjiv mittal, Shobhit shukla, Rahul agarwal",Seed Funding,1.24,2016,Haryana
1263,1264,Housing,Consumer Internet,Mumbai,Softbank corp,Private Equity,123.75,2016,Maharashtra
1264,1265,Housing,Consumer Internet,Mumbai,Softbank group,Private Equity,41.25,2016,Maharashtra
1265,1266,Housing,Consumer Internet,Mumbai,Vineet singh,Private Equity,0.0,2016,Maharashtra
1266,1267,Houssup,Consumer Internet,Jaipur,"Mitin patel, Gaurav agarwal",Seed Funding,0.0,2016,Rajasthan
1267,1268,Hubilo,Event Management,Ahmedabad,"Girish mathrubootham, Vc karthic, Miten mehta, Umasankar nistala, Rakesh patel, Akash bhavsar, Jeevanandhan rajagopal, Vikas chadha & others",Seed Funding,0.0,2016,Gujarat
1268,1269,Hungama,Consumer Internet,Mumbai,Xiaomi inc,Private Equity,206.25,2016,Maharashtra
1269,1270,i2i Funding,Finance,Noida,Undisclosed investors,Seed Funding,2.48,2016,Uttar Pradesh
1270,1271,iAugmentor Labs,Technology,Gurugram,Rajasthan angel investor network & others,Seed Funding,1.23,2016,Haryana
1271,1272,iBus Networks,Technology,Bengaluru,"Vallabh bhanshali, N squared management llc, Jagdish & sandeep mehta family office",Private Equity,18.98,2016,Karnataka
1272,1273,Icertis,Consumer Internet,Pune,"Ignition partners, Greycroft partners, Fidelity growth partners india",Private Equity,123.75,2016,Maharashtra
1273,1274,ICHR,Consumer Internet,New Delhi,Undisclosed,Seed Funding,3.71,2016,Delhi
1274,1275,iCliniq,Consumer Internet,Bengaluru,Madhankumar madathupalayam,Seed Funding,0.0,2016,Karnataka
1275,1276,iCustomadeit,E-Commerce,Pune,"Brand capital, Siddhivinayak skyscrapers, Dinesh r. challa",Private Equity,33.0,2016,Maharashtra
1276,1277,Idea Bubbles,Consumer Internet,Bengaluru,"1crowd, Eureka forbes ltd, Shapoorji pallonji & co. ltd.",Private Equity,5.78,2016,Karnataka
1277,1278,IdeaChakki,Consumer Internet,New Delhi,Ratan tata,Seed Funding,0.0,2016,Delhi
1278,1279,IdeaForge,Technology,Mumbai,"Wrv capital and indusage partners, Infosys innovation fund",Private Equity,82.5,2016,Maharashtra
1279,1280,iDreamCareer,EdTech,New Delhi,Brand capital,Private Equity,0.0,2016,Delhi
1280,1281,iGrenEnergi,Technology,Mumbai,Sunil mehta,Seed Funding,8.25,2016,Maharashtra
1281,1282,IIM Jobs,Consumer Internet,New Delhi,India quotient,Private Equity,16.5,2016,Delhi
1282,1283,ImageProVision,Technology,Pune,Satish jamdar,Seed Funding,0.0,2016,Maharashtra
1283,1284,Imarticus Learning,Education,Mumbai,"Blinc advisors, Amit nanavati, Tashwinder singh, Taranjit jaswal, Amit khanna",Private Equity,8.25,2016,Maharashtra
1284,1285,IMbesharam,E-Commerce,New Delhi,Undisclosed us based investors,Private Equity,33.0,2016,Delhi
1285,1286,imedilane,Consumer Internet,New Delhi,"Mahendra patel, Nilender chauhan",Seed Funding,0.33,2016,Delhi
1286,1287,Impact Analytics,Technology,Bengaluru,"Aarin capital, Michael herzig, Ashish lakhanpal",Private Equity,6.19,2016,Karnataka
1287,1288,Impact Guru,FinTech,Mumbai,"Rb investments, Fundnel",Seed Funding,4.13,2016,Maharashtra
1288,1289,ImpactGuru,FinTech,Mumbai,Piyush jain,Seed Funding,0.0,2016,Maharashtra
1289,1290,Inc42,Media,New Delhi,"India ventures, Aarin capital & others",Seed Funding,0.0,2016,Delhi
1290,1291,inclov,Consumer Internet,Mumbai,"Sarbvir singh, Raghav bahl",Seed Funding,0.0,2016,Maharashtra
1291,1292,Indee,Consumer Internet,Bengaluru,Kalaari capital accelerator program,Seed Funding,4.13,2016,Karnataka
1292,1293,Indi,Consumer Internet,Bengaluru,Anil kapoor,Seed Funding,0.0,2016,Karnataka
1293,1294,India Gifts Portal,E-Commerce,Noida,"Naveen arya, Tarun joshi",Private Equity,16.5,2016,Uttar Pradesh
1294,1295,India Lends,Consumer Internet,New Delhi,"Dsg consumer partners, American express ventures, Cyber carrier vc, Advantedge partners",Private Equity,33.0,2016,Delhi
1295,1296,Indiamart,E-Commerce,Noida,Amadeus capital,Private Equity,0.0,2016,Uttar Pradesh
1296,1297,Indifi,FinTech,Gurugram,Omidyar network,Private Equity,82.5,2016,Haryana
1297,1298,Indofash,E-Commerce,Bengaluru,"Shekhar sahu, Nitesh pant",Seed Funding,1.24,2016,Karnataka
1298,1299,Indus OS,Technology,Mumbai,"Omidyar network,",Private Equity,41.25,2016,Maharashtra
1299,1300,IndustryBuying,E-Commerce,New Delhi,Trifecta capital,Private Equity,14.85,2016,Delhi
1300,1301,Infeedo,Technology,Gurugram,"Dheeraj jain, Palash jain, Anupam mittal, Ameera shah,  vivek bhargava, Rahul singh, Ambarish gupta,",Seed Funding,1.65,2016,Haryana
1301,1302,Infisecure,Technology,Mumbai,"Idg ventures, Axilor ventures",Seed Funding,4.95,2016,Maharashtra
1302,1303,Infurnia,Software,Bengaluru,Idein ventures,Seed Funding,1.32,2016,Karnataka
1303,1304,inMotion,Technology,Noida,"Prashant tandon, Gaurav agarwal, Gaurav bhogle, Shrishti sahu, Shantanu mathur, Prabhat aggarwal",Seed Funding,0.0,2016,Uttar Pradesh
1304,1305,InnerChef,Food,Gurugram,"Mistletoe, M&s partners",Private Equity,20.63,2016,Haryana
1305,1306,InnoNano Research,Technology,Chennai,Nanoholdings,Private Equity,148.5,2016,Tamil Nadu
1306,1307,Innoplexus,Technology,Pune,Hcs venture capital fund,Private Equity,0.0,2016,Maharashtra
1307,1308,Innov8,Real Estate,New Delhi,Punit soni,Seed Funding,0.0,2016,Delhi
1308,1309,Innovaccer,Technology,Noida,Westbridge capital partners,Private Equity,128.7,2016,Uttar Pradesh
1309,1310,Instacar,Consumer Internet,Indore,Swastika co ltd.,Seed Funding,8.25,2016,Madhya Pradesh
1310,1311,InstantPay,Consumer Internet,New Delhi,"Rb investments,  kaleden holdings",Private Equity,0.0,2016,Delhi
1311,1312,Instaproc,E-Commerce,Noida,Dinesh agarwal,Seed Funding,0.0,2016,Uttar Pradesh
1312,1313,Interviewpad,Technology,Pune,Krishna rokhale,Seed Funding,0.83,2016,Maharashtra
1313,1314,Intgrea,Technology,Bengaluru,Undisclosed investor,Seed Funding,0.83,2016,Karnataka
1314,1315,intouchapp,Consumer Internet,Pune,Blume ventures,Seed Funding,0.0,2016,Maharashtra
1315,1316,Inuxu,Technology,Pune,Fork media,Private Equity,24.75,2016,Maharashtra
1316,1317,Invictus Oncology,Healthcare,New Delhi,Ratan tata,Private Equity,0.0,2016,Delhi
1317,1318,IQlect,Data Analytics,Bengaluru,"Lip-bu tan, Michael marks, Nicolas braithwaite",Private Equity,0.0,2016,Karnataka
1318,1319,iServe Financial,Consumer Internet,Pune,Nilesh shah,Seed Funding,0.0,2016,Maharashtra
1319,1320,ISFC,Finance,Hyderabad,Gray matters capital,Private Equity,49.5,2016,Telangana
1320,1321,iStyleYou,Consumer Internet,Gurugram,Green house ventures (ghv),Seed Funding,0.83,2016,Haryana
1321,1322,Jaypore,E-Commerce,New Delhi,Aavishkaar,Private Equity,41.25,2016,Delhi
1322,1323,Jazzmyride,E-Commerce,New Delhi,Tvs automobile solutions ltd,Private Equity,0.0,2016,Delhi
1323,1324,Jivox,Technology,Bengaluru,"You & mr jones, Fortisure ventures, Diaz nesamoney",Private Equity,49.5,2016,Karnataka
1324,1325,Jobick,Consumer Internet,Noida,Abhinav mathur,Seed Funding,0.0,2016,Uttar Pradesh
1325,1326,JoeHukum,Technology,Gurugram,Sumit jain,Seed Funding,0.0,2016,Haryana
1326,1327,JollyFoodFellow,Food ,Ahmedabad,Janak parikh,Seed Funding,0.0,2016,Gujarat
1327,1328,Joolz,E-Commerce,Mumbai,"Powerhouse ventures, M&s partners",Private Equity,4.13,2016,Maharashtra
1328,1329,JoulestoWatts,Technology,Bengaluru,Manipal global education services,Seed Funding,0.0,2016,Karnataka
1329,1330,Jugnoo,Transportation,Chandigarh,Paytm & existing investors,Private Equity,82.5,2016,Chandigarh
1330,1331,Jugnoo,Transportation,Chandigarh,Saumya tandon,Private Equity,0.0,2016,Chandigarh
1331,1332,JusPay,FinTech,Bengaluru,"Accel partners, Ashish hemrajani, Parikshit dar, Rajesh balpande",Private Equity,47.85,2016,Karnataka
1332,1333,Just Buy Live,E-Commerce,Mumbai,Alpha capital,Private Equity,165.0,2016,Maharashtra
1333,1334,Justbooks,Consumer Internet,Bengaluru,Cocreate ventures,Seed Funding,0.0,2016,Karnataka
1334,1335,Justdakhila,Education,New Delhi,Ankur gupta,Seed Funding,6.19,2016,Delhi
1335,1336,JustDoc,Consumer Internet,Bengaluru,"Tv mohandas pai, Mohit saxena, Raghunandan g, Singapore angel network, Tracxnlabs",Seed Funding,0.0,2016,Karnataka
1336,1337,JustLikeNew,E-Commerce,Hyderabad,Letsventure,Seed Funding,4.13,2016,Telangana
1337,1338,Justride,Consumer Internet,Mumbai,"Justin kan, Qasar younis, Paul bucche, Susa ventures, Kima ventures, Axan venture, Scm holdings",Private Equity,24.75,2016,Maharashtra
1338,1339,Justride,Consumer Internet,Mumbai,Dheeraj jain & other angel investors,Seed Funding,3.3,2016,Maharashtra
1339,1340,KabadiExpress,Sports,New Delhi,Undisclosed investor,Seed Funding,1.22,2016,Delhi
1340,1341,Kalaage,Consumer Internet,Jaipur,Rajasthan angel innovators network,Seed Funding,0.0,2016,Rajasthan
1341,1342,KarmaCircles,Consumer Internet,New Delhi,"Harinder takhar, Zain raj, Dr. prasad kaipa, Abaran deep, Aseem sood, Mustafa patni",Seed Funding,0.0,2016,Delhi
1342,1343,Kartrocket,Consumer Internet,New Delhi,"Undisclosed japanese investor, Bertelsmann india investments, Nirvana digital india fund, Nirvana digital investment holding co ltd, 500 start-ups",Private Equity,66.0,2016,Delhi
1343,1344,Kartrocket,Consumer Internet,New Delhi,"Bertelsmann india investments, Nirvana digital india fund, Nirvana digital investment holding, 500 startups",Private Equity,49.5,2016,Delhi
1344,1345,KhanaGadi,Consumer Internet,Jaipur,50k ventures,Seed Funding,0.0,2016,Rajasthan
1345,1346,Khel Now,Consumer Internet,New Delhi,Anglian omega network,Seed Funding,2.89,2016,Delhi
1346,1347,Kickstart Jobs,Technology,Gurugram,"Vivek joshi, Mohit satyanand, Amit banati, Arun khanna",Seed Funding,0.0,2016,Haryana
1347,1348,Kidsstoppress,Consumer Internet,Mumbai,Karan bhagat,Seed Funding,0.0,2016,Maharashtra
1348,1349,Kloseby,Consumer Internet,Bengaluru,Undisclosed investor,Seed Funding,0.83,2016,Karnataka
1349,1350,Knolskae,Consumer Internet,Bengaluru,"Inventus capital partners, Hr fund",Private Equity,0.0,2016,Karnataka
1350,1351,Knowlarity,Consumer Internet,Bengaluru,"Delta partners, Sequoia india,  mayfield, Blacksoil, Trifecta capital",Private Equity,165.0,2016,Karnataka
1351,1352,KOOH Sports,Sports,Mumbai,"Hdfc, Faering capital, Elevate sports",Private Equity,18.15,2016,Maharashtra
1352,1353,Koovs,E-Commerce,New Delhi,Times of india group & existing investors,Private Equity,111.38,2016,Delhi
1353,1354,Koovs,E-Commerce,Gurugram,"Nahata family, Waheed alli",Private Equity,44.55,2016,Haryana
1354,1355,Koovs,E-Commerce,New Delhi,Ht media ltd,Private Equity,36.3,2016,Delhi
1355,1356,KrazyBee,E-Commerce,Bengaluru,"Yeahmobi, Fenqile",Private Equity,16.5,2016,Karnataka
1356,1357,Kredx,E-Commerce,Bengaluru,Sequoia capital,Private Equity,49.5,2016,Karnataka
1357,1358,Kredx,E-Commerce,Bengaluru,"Prime venture partners,",Seed Funding,6.19,2016,Karnataka
1358,1359,Kyazoonga,E-Commerce,Mumbai,Ratan tata,Seed Funding,0.0,2016,Maharashtra
1359,1360,LaundryAnna,Consumer Internet,Bengaluru,Undisclosed investors,Seed Funding,1.24,2016,Karnataka
1360,1361,Lawrato,Consumer Internet,New Delhi,Indian angel network,Seed Funding,0.0,2016,Delhi
1361,1362,Leap India,Logistics,Surabardi,Mayfield ventures,Private Equity,24.75,2016,Maharashtra
1362,1363,Legal Raasta,Consumer Internet,New Delhi,"Pravin khandelwal, Yatin kumar jain",Seed Funding,8.25,2016,Delhi
1363,1364,Legistify,Consumer Internet,New Delhi,Ranjit singh,Seed Funding,0.0,2016,Delhi
1364,1365,lehlehsports,Sports,New Delhi,Anglian omega network,Seed Funding,0.0,2016,Delhi
1365,1366,LenDenClub,Finance,Mumbai,"Anirudh damani, Daud ali, Narendra karnavat, Vikas kapoor, Vikram lakhotia, Krishna jhunjhunwaala, Jayesh shah",Seed Funding,0.0,2016,Maharashtra
1366,1367,LendingKart,FinTech,Ahmedabad,"Bertelsmann india investments, Mayfield india, Saama capital, India quotient",Private Equity,264.0,2016,Gujarat
1367,1368,Lenskart,E-Commerce,Gurugram,"International finance corp, Tpg growth, Adveq management, Idg ventures, Ratan tata, Kris gopalakrishnan",Private Equity,495.0,2016,Haryana
1368,1369,Lenskart,E-Commerce,Gurugram,Premjiinvest,Private Equity,0.0,2016,Haryana
1369,1370,LensPick,E-Commerce,Bengaluru,Scadea solutions inc,Private Equity,0.0,2016,Karnataka
1370,1371,LetReach,E-Commerce,New Delhi,Vcommission,Private Equity,0.83,2016,Delhi
1371,1372,Lets Barter,Consumer Internet,New Delhi,Scale ventures funds,Seed Funding,0.0,2016,Delhi
1372,1373,LetsMD,Healthcare,New Delhi,"Calcutta angels network, Letsventure, Anupam mittal, Currae healthtech fund",Seed Funding,0.0,2016,Delhi
1373,1374,LexComply,Consumer Internet,New Delhi,Ajay relan,Seed Funding,0.0,2016,Delhi
1374,1375,Licious,E-Commerce,Bengaluru,Mayfield india ii management ltd,Private Equity,24.75,2016,Karnataka
1375,1376,LifCare,Consumer Internet,Jaipur,"Rajul garg, Alok mittal, Kunal shah, Rishi mandawat, Dheeraj jain, Sandeep tandon, Dexter angel circle",Seed Funding,0.0,2016,Rajasthan
1376,1377,Life Circle,Healthcare,Hyderabad,Groupe sos,Private Equity,1.24,2016,Telangana
1377,1378,Life in Control,Consumer Internet,Gurugram,Roundglass partners,Private Equity,0.0,2016,Haryana
1378,1379,Liftiee,Consumer Internet,Mumbai,"Rannvijay singh, Anita hassanandani",Seed Funding,0.89,2016,Maharashtra
1379,1380,Limo,Consumer Internet,Mumbai,Rainmaker ventures,Private Equity,8.25,2016,Maharashtra
1380,1381,Liqvid,Technology,New Delhi,Gray matters capital,Private Equity,0.0,2016,Delhi
1381,1382,ListUp,E-Commerce,Mumbai,"Kae capital, Kunal shah, Sandeep tandon",Seed Funding,4.13,2016,Maharashtra
1382,1383,Little,Consumer Internet,Bengaluru,Gic,Private Equity,0.0,2016,Karnataka
1383,1384,Little Black Book,Consumer Internet,New Delhi,"Idg, Indian angel network",Seed Funding,0.0,2016,Delhi
1384,1385,LiveNutriFit,Healthcare,New Delhi,"Mohit goel, Vinod jain & others",Seed Funding,0.0,2016,Delhi
1385,1386,Living Local,Consumer Internet,Mumbai,Rattan chadha,Seed Funding,1.65,2016,Maharashtra
1386,1387,LivSpace,Design,Bengaluru,"Bessemer venture partners, Jungle ventures, Helion ventures",Private Equity,123.75,2016,Karnataka
1387,1388,LoanTap,Consumer Internet,Mumbai,"Dr. abhishek pandey, Jaysukh sapra",Private Equity,24.75,2016,Maharashtra
1388,1389,Loanzen,Finance,Bengaluru,Tracxn syndicate,Seed Funding,0.0,2016,Karnataka
1389,1390,LocalRamu,Consumer Internet,Bengaluru,3 undisclosed investors,Seed Funding,0.0,2016,Karnataka
1390,1391,Locanix,Technology,Ahmedabad,Undisclosed investors,Seed Funding,2.48,2016,Gujarat
1391,1392,Locus,Logistics,Bengaluru,"Exfinity venture partners, Blume ventures, Beenext, Rajesh ranavat",Private Equity,22.69,2016,Karnataka
1392,1393,LoveCycles,Consumer Internet,Bengaluru,Prime venture partners,Seed Funding,6.19,2016,Karnataka
1393,1394,Lucideus,Cybersecurity,New Delhi,Amit choudhary,Seed Funding,0.0,2016,Delhi
1394,1395,Lumiere,E-Commerce,Bengaluru,Undisclosed investors,Private Equity,0.0,2016,Karnataka
1395,1396,m.paani,Consumer Internet,Mumbai,"Blume ventures, Adil allana, Aprameya radhakrishna, Gautam ivatury, Signal point partners",Seed Funding,0.0,2016,Maharashtra
1396,1397,MaalGaadi,Logistics,Indore,"Swan angel network, Sachin khandelwal and others",Seed Funding,3.09,2016,Madhya Pradesh
1397,1398,MaaxMarket,Consumer Internet,Chennai,Multiple investors through ten minute million competition,Seed Funding,0.19,2016,Tamil Nadu
1398,1399,MachaDalo,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1.44,2016,Maharashtra
1399,1400,Mad Street Den,Technology,Chennai,"Sequoia india, Exfinity ventures, Growx ventures,",Private Equity,0.0,2016,Tamil Nadu
1400,1401,MadRat Games,Entertainment,Bengaluru,"Ratan tata, Bhavish aggarwal, Ankit bhati, Binny bansal, Girish mathrubootham",Seed Funding,0.0,2016,Karnataka
1401,1402,Magic Crate,Education,Bengaluru,"Tv mohandas pai, Aarin capital",Seed Funding,0.0,2016,Karnataka
1402,1403,Magicpin,Consumer Internet,Gurugram,Lightspeed india,Private Equity,24.75,2016,Haryana
1403,1404,MagicX,Consumer Internet,Bengaluru,"Kris gopalakrishnan, Dr. ranjan pai",Seed Funding,8.25,2016,Karnataka
1404,1405,MakeMyTrip,Consumer Internet,Gurugram,Ctrip international ltd,Private Equity,1485.0,2016,Haryana
1405,1406,Makkajai,Technology,Pune,"Anand chandrasekaran, Ananth narayanan, Mekin maheshwari, Ravi garikipati, Divyesh shah, Swastika company ltd",Seed Funding,2.06,2016,Maharashtra
1406,1407,MamaEarth,E-Commerce,Gurugram,Fireside ventures & others,Seed Funding,0.0,2016,Haryana
1407,1408,MarianaIQ,Technology,Bengaluru,Exfinity venture partners,Private Equity,16.5,2016,Karnataka
1408,1409,Math Buddy,Consumer Internet,Vadodara,Menterra social impact fund,Seed Funding,3.63,2016,Gujarat
1409,1410,Matrubharti,Consumer Internet,Ahmedabad,Viridian capital,Seed Funding,0.25,2016,Gujarat
1410,1411,Maya,Consumer Internet,Bengaluru,Rajan anandan,Seed Funding,0.0,2016,Karnataka
1411,1412,Mazkara,Consumer Internet,Pune,Dunamis ventures pte ltd.,Seed Funding,8.25,2016,Maharashtra
1412,1413,MCaffeine,Personal Care,Mumbai,"Kaushal agarwal, Harminder sahani, Kk mehra, Pranay jivrajka, Navjot saini",Seed Funding,2.48,2016,Maharashtra
1413,1414,mChamp,Consumer Internet,New Delhi,Momagic technologies,Seed Funding,3.92,2016,Delhi
1414,1415,medECUBE,Healthcare,Gurugram,Artiman ventures,Private Equity,33.0,2016,Haryana
1415,1416,Medidaili,Consumer Internet,Bengaluru,Undisclosed private investors,Seed Funding,0.83,2016,Karnataka
1416,1417,Medinfi,Consumer Internet,Bengaluru,"Mudit saxena, Evan lim",Seed Funding,1.65,2016,Karnataka
1417,1418,Medinfi,Consumer Internet,Bengaluru,"Rajnish sinha, Prijit debnath, Kanchan ghoshal",Seed Funding,0.0,2016,Karnataka
1418,1419,Medzin,E-Commerce,New Delhi,A m sikander,Seed Funding,0.37,2016,Delhi
1419,1420,Meesho,E-Commerce,Bengaluru,"Kashyap deorah, Rajul garg, Maninder gulati",Seed Funding,0.0,2016,Karnataka
1420,1421,Melorra,E-Commerce,Bengaluru,Lightbox ventures,Private Equity,41.25,2016,Karnataka
1421,1422,MeraKisan,E-Commerce,Bengaluru,Mahindra univeg,Seed Funding,0.0,2016,Karnataka
1422,1423,Meru Cabs,Transportation,Mumbai,Brand capital,Private Equity,206.25,2016,Maharashtra
1423,1424,Mihup,B2B,Kolkata,Accel partners,Private Equity,55.28,2016,West Bengal
1424,1425,MilkBasket,E-Commerce,Gurugram,Evc ventures,Seed Funding,4.13,2016,Haryana
1425,1426,Milofy,Consumer Internet,Bengaluru,Accel partners,Seed Funding,6.19,2016,Karnataka
1426,1427,Mindler,Consumer Internet,New Delhi,Taxmann,Seed Funding,2.67,2016,Delhi
1427,1428,MindYourFleet,Consumer Internet,Noida,Undisclosed investors,Seed Funding,0.0,2016,Uttar Pradesh
1428,1429,MintM,Consumer Internet,Bengaluru,"Mumbai angels,  times internet",Private Equity,0.0,2016,Karnataka
1429,1430,mishTag,Consumer Internet,New Delhi,"M&y partners, Svg media, Anthil ventures & others",Seed Funding,0.0,2016,Delhi
1430,1431,MobiDent,Healthcare,Bengaluru,Centre for innovation incubation and entrepreneurship (ciie),Seed Funding,0.0,2016,Karnataka
1431,1432,Mobikwik,FinTech,Gurugram,"Gmo payment gateway, Mediatek",Private Equity,412.5,2016,Haryana
1432,1433,Mobikwik,FinTech,Gurugram,Net1 ueps technologies inc,Private Equity,330.0,2016,Haryana
1433,1434,MoEngage,SaaS,Bengaluru,Anand chandrasekaran,Seed Funding,0.0,2016,Karnataka
1434,1435,Moglix,E-Commerce,Noida,"Accel partners, Jungle ventures, Seedplus",Private Equity,34.65,2016,Uttar Pradesh
1435,1436,Moglix,E-Commerce,Noida,Ratan tata,Private Equity,0.0,2016,Uttar Pradesh
1436,1437,Mojarto,E-Commerce,Gurugram,Undisclosed investors,Seed Funding,3.67,2016,Haryana
1437,1438,MoMark,Consumer Internet,Noida,Yournest angel fund,Private Equity,4.95,2016,Uttar Pradesh
1438,1439,MonkeyBox,Consumer Internet,Bengaluru,Blume ventures & others,Seed Funding,0.0,2016,Karnataka
1439,1440,Moodoo,Consumer Internet,Mumbai,Said business school seed fund.,Seed Funding,0.33,2016,Maharashtra
1440,1441,MotoMojo,Consumer Internet,Mumbai,"Niloufer dundh, Fauzan rahim, Balamurugan mani,",Seed Funding,0.0,2016,Maharashtra
1441,1442,Mr Hot Foods,Consumer Internet,Indore,Ivycamp ventures,Seed Funding,0.0,2016,Madhya Pradesh
1442,1443,MuhurtMaza,Consumer Internet,Pune,Undisclosed investor,Seed Funding,0.0,2016,Maharashtra
1443,1444,Murgency,Consumer Internet,Mumbai,Axilor ventures,Private Equity,0.0,2016,Maharashtra
1444,1445,MyAdvo,Consumer Internet,New Delhi,"Pradyumna dalmia, S. somasegar & others",Seed Funding,0.0,2016,Delhi
1445,1446,MyChild App,Education,Bhopal,"Samir bangara, Anisha mittal, Amit gupta, Pallav nadhani, Lalit mangal, Arihant patni, Dr. ritesh malik, Deobrat singh, Saurab paruthi, Singapore angel network.",Seed Funding,0.83,2016,Madhya Pradesh
1446,1447,MyCity4Kids,Education,Gurugram,"Sidbi venture capital limited, Yournest angel fund",Private Equity,24.75,2016,Haryana
1447,1448,MyDentistChoice,Healthcare,Hyderabad,Undisclosed investors,Seed Funding,1.24,2016,Telangana
1448,1449,MyDidi,Consumer Internet,Mumbai,Undisclosed ex mckinsey directors and partners,Seed Funding,4.54,2016,Maharashtra
1449,1450,Myeglu,Technology,Bengaluru,Foxconn technology group & others,Seed Funding,0.0,2016,Karnataka
1450,1451,MyGlamm,Personal Care,Mumbai,L'occitane,Private Equity,49.5,2016,Maharashtra
1451,1452,MyGubbi,E-Commerce,Bengaluru,"Vipul parekh, Ajesh k murthy,",Seed Funding,20.63,2016,Karnataka
1452,1453,MyKindofJob,Consumer Internet,Mumbai,"Mayank shah, Shreyans shah",Seed Funding,8.25,2016,Maharashtra
1453,1454,Myly,Consumer Internet,Jaipur,Newbie promoter pvt ltd,Seed Funding,0.83,2016,Rajasthan
1454,1455,MySeniorDoctor,Consumer Internet,Gurugram,Blackjag partners,Seed Funding,1.65,2016,Haryana
1455,1456,Mystifly,Consumer Internet,Bengaluru,Recruit holdings,Private Equity,41.25,2016,Karnataka
1456,1457,MySUN,Energy,Noida,General catalyst partners,Private Equity,20.63,2016,Uttar Pradesh
1457,1458,MySuperBrain,Consumer Internet,Hyderabad,Soniks consulting,Seed Funding,0.0,2016,Telangana
1458,1459,MyTaxiIndia,Transportation,Gurugram,Nihon kotsu co,Private Equity,8.25,2016,Haryana
1459,1460,N.O.W,Consumer Internet,Noida,"Ruchirans jaipuria, Anuj sanghi",Seed Funding,4.13,2016,Uttar Pradesh
1460,1461,N.O.W,Consumer Internet,Noida,Maple capital advisors,Seed Funding,0.0,2016,Uttar Pradesh
1461,1462,NatureNama,Consumer Internet,Mumbai,Unicorn venture,Seed Funding,1.86,2016,Maharashtra
1462,1463,NearBuy,Consumer Internet,Gurugram,Blacksoil capital pvt. ltd.,Private Equity,20.63,2016,Haryana
1463,1464,NearFox,Consumer Internet,Mumbai,"Globevestor angel fund, Devendra rane, Ravi jain,  arpan nagdeve",Seed Funding,0.0,2016,Maharashtra
1464,1465,NearU,Consumer Internet,Mumbai,Dr. goutam challagalla,Seed Funding,0.0,2016,Maharashtra
1465,1466,NeoGrowth,Finance,Mumbai,"Iifl wealth management seed venture fund, Omidyar network, Khosla impact, Aspada",Private Equity,132.0,2016,Maharashtra
1466,1467,NestAway,Real Estate,Bengaluru,Tiger global,Private Equity,247.5,2016,Karnataka
1467,1468,Nestaway,Real Estate,Bengaluru,Ratan tata,Private Equity,0.0,2016,Karnataka
1468,1469,NetLinx,Consumer Internet,Hyderabad,"Xchange investors nv, Transglobal fzc",Private Equity,24.75,2016,Telangana
1469,1470,Netree,E-Commerce,New Delhi,"The chennai angels, Letsventure",Seed Funding,0.0,2016,Delhi
